year,h,h_c
2021,Graphite,119
2021,Biotechnology,119
2021,Pseudomonas aeruginosa,119
2021,Health Priorities,119
2021,Plants,119
2021,"Shock, Septic",119
2021,Music,119
2021,Sexual Partners,119
2021,Coronary Angiography,119
2021,Search Engine,119
2021,Water Purification,119
2021,Argentina,119
2021,Neuroimaging,118
2021,Drug Prescriptions,118
2021,Renal Replacement Therapy,118
2021,Patient Preference,118
2021,Environmental Pollution,118
2021,Intestines,118
2021,Circadian Rhythm,118
2021,Transportation,117
2021,Cholesterol,117
2021,Cardiovascular System,117
2021,Bereavement,117
2021,Carrier State,117
2021,"Adaptation, Physiological",117
2021,Geriatrics,117
2021,Health Resources,116
2021,Eye Diseases,116
2021,"Hospitals, Teaching",116
2021,Virus Inactivation,116
2021,Rivers,116
2021,Spatio-Temporal Analysis,116
2021,Obstetrics,116
2021,"Dermatitis, Atopic",116
2021,Piperidines,116
2021,Computed Tomography Angiography,116
2021,Lymph Nodes,116
2021,Awards and Prizes,115
2021,Procalcitonin,115
2021,"Databases, Protein",115
2021,Ritonavir,115
2021,Respiratory Mucosa,115
2021,"Suicide, Attempted",115
2021,"Hospitals, Public",115
2021,Adverse Drug Reaction Reporting Systems,115
2021,Personality,115
2021,Sewage,115
2021,One Health,115
2021,Pancreatitis,114
2021,Methicillin-Resistant Staphylococcus aureus,114
2021,Acute Coronary Syndrome,114
2021,Organ Specificity,114
2021,Evidence-Based Practice,114
2021,"T-Lymphocytes, Regulatory",114
2021,Thrombolytic Therapy,114
2021,United Nations,113
2021,Leukocytes,113
2021,Lipid Metabolism,113
2021,Standard of Care,113
2021,Exercise Test,113
2021,"Receptors, Antigen, T-Cell",113
2021,Disease Eradication,113
2021,Advance Care Planning,112
2021,RNA Viruses,112
2021,Child Development,112
2021,Nurse Practitioners,112
2021,Vascular Endothelial Growth Factor A,112
2021,Sequence Alignment,112
2021,Community Pharmacy Services,112
2021,Vascular Surgical Procedures,112
2021,L-Lactate Dehydrogenase,112
2021,"Reagent Kits, Diagnostic",112
2021,Thrombectomy,112
2021,Computers,112
2021,Humidity,111
2021,Internet-Based Intervention,111
2021,Thrombophilia,111
2021,Universal Health Insurance,111
2021,Aspirin,111
2021,Safety,111
2021,Reproductive Health,111
2021,Nitriles,111
2021,Lebanon,111
2021,Ghana,111
2021,Cell Movement,110
2021,Insulin Resistance,110
2021,Gynecology,110
2021,Quality-Adjusted Life Years,110
2021,Interleukin-10,110
2021,Clustered Regularly Interspaced Short Palindromic Repeats,110
2021,Brain Neoplasms,110
2021,Mesocricetus,110
2021,Homes for the Aged,110
2021,British Columbia,110
2021,Glycemic Control,110
2021,Dentistry,110
2021,Hand,109
2021,Parent-Child Relations,109
2021,Taste Disorders,109
2021,Speech,109
2021,"Administration, Intranasal",109
2021,Editorial Policies,109
2021,Pyridines,109
2021,Musculoskeletal Diseases,109
2021,Pain Measurement,109
2021,"Tuberculosis, Pulmonary",109
2021,Silver,109
2021,Weight Gain,109
2021,"Printing, Three-Dimensional",109
2021,Cardiac Rehabilitation,109
2021,Appointments and Schedules,109
2021,Adolescent Behavior,109
2021,Women's Health,109
2021,Multiple Organ Failure,109
2021,Hemoglobins,108
2021,Contrast Media,108
2021,Hepatitis B,108
2021,Risk-Taking,108
2021,Plasmodium falciparum,108
2021,Marketing,108
2021,Nurse Administrators,108
2021,Taste,108
2021,"Anemia, Sickle Cell",108
2021,Measles,108
2021,Native Hawaiian or Other Pacific Islander,107
2021,Bronchoscopy,107
2021,Allied Health Personnel,107
2021,Natural Language Processing,107
2021,Blood-Brain Barrier,107
2021,Proteolysis,107
2021,Michigan,107
2021,Staphylococcal Infections,106
2021,Soil,106
2021,Dental Caries,106
2021,Platelet Aggregation Inhibitors,106
2021,Lymphopenia,106
2021,Rabbits,106
2021,Environmental Pollutants,106
2021,Ischemia,106
2021,Out-of-Hospital Cardiac Arrest,105
2021,Viral Envelope Proteins,105
2021,Tissue Engineering,105
2021,Respiration,105
2021,Microplastics,105
2021,"Pain, Postoperative",105
2021,Body Composition,105
2021,"Drug Resistance, Microbial",105
2021,Skilled Nursing Facilities,105
2021,"Intensive Care Units, Pediatric",105
2021,Refuse Disposal,105
2021,Investments,105
2021,Health Care Reform,105
2021,Poultry Diseases,104
2021,Mammals,104
2021,Stakeholder Participation,104
2021,Glaucoma,104
2021,Species Specificity,104
2021,Video Games,104
2021,Longevity,104
2021,Sleep Quality,104
2021,Nucleic Acid Conformation,104
2021,Migraine Disorders,104
2021,Nutrition Assessment,104
2021,"Imaging, Three-Dimensional",103
2021,Respiratory Tract Diseases,103
2021,Creatinine,103
2021,Research Report,103
2021,Information Storage and Retrieval,103
2021,Civil Defense,103
2021,Rural Health Services,103
2021,"Heart Defects, Congenital",103
2021,Crohn Disease,103
2021,Phytotherapy,103
2021,Federal Government,103
2021,Victoria,103
2021,Mycoses,103
2021,"Students, Pharmacy",103
2021,Protein Biosynthesis,102
2021,Sexism,102
2021,Behavior Therapy,102
2021,Glycoproteins,102
2021,Recombinant Fusion Proteins,102
2021,Immunophenotyping,102
2021,Diabetic Retinopathy,102
2021,Microglia,102
2021,"Models, Animal",102
2021,HIV,102
2021,"Polymorphism, Genetic",101
2021,Hemodynamics,101
2021,Phagocytosis,101
2021,"Genome, Human",101
2021,Developed Countries,101
2021,Nursing Care,101
2021,Catalysis,101
2021,Domestic Violence,101
2021,Biofilms,101
2021,Support Vector Machine,101
2021,Nutrition Surveys,101
2021,Continuous Positive Airway Pressure,100
2021,Decontamination,100
2021,Jordan,100
2021,Robotic Surgical Procedures,100
2021,Melatonin,100
2021,Personnel Selection,100
2021,Affect,100
2021,Chemokines,100
2021,Public Health Administration,100
2021,Antidepressive Agents,100
2021,Drug Compounding,100
2021,Cellular Senescence,99
2021,Patient Protection and Affordable Care Act,99
2021,Multiplex Polymerase Chain Reaction,99
2021,Diagnostic Errors,99
2021,Hip Fractures,99
2021,"Immunity, Mucosal",99
2021,Nursing Staff,99
2021,Program Development,99
2021,Attention Deficit Disorder with Hyperactivity,99
2021,Retina,99
2021,Nucleocapsid Proteins,99
2021,Patient Isolation,99
2021,Patients,99
2021,Regenerative Medicine,99
2021,Reproduction,99
2021,Social Environment,99
2021,Open Reading Frames,99
2021,Surface Properties,99
2021,Genome,98
2021,T-Lymphocyte Subsets,98
2021,"Delivery, Obstetric",98
2021,Energy Intake,98
2021,Multimorbidity,98
2021,Ascorbic Acid,98
2021,"Receptors, Chimeric Antigen",98
2021,Stomach Neoplasms,98
2021,Harm Reduction,98
2021,Sarcopenia,98
2021,False Negative Reactions,98
2021,Movement,98
2021,Cat Diseases,97
2021,Induced Pluripotent Stem Cells,97
2021,Religion,97
2021,Computer Security,97
2021,"Outcome and Process Assessment, Health Care",97
2021,Sexual Health,97
2021,Pneumothorax,97
2021,Psychiatric Status Rating Scales,97
2021,Metabolic Diseases,97
2021,Efficiency,97
2021,"History, 19th Century",97
2021,Prescriptions,97
2021,Narcotic Antagonists,97
2021,Intraocular Pressure,97
2021,Complement Activation,97
2021,Endovascular Procedures,96
2021,Caco-2 Cells,96
2021,Oximetry,96
2021,"Protein Structure, Secondary",96
2021,Risk Management,96
2021,Pre-Eclampsia,96
2021,"Lymphohistiocytosis, Hemophagocytic",96
2021,Burns,96
2021,Antigens,96
2021,Hospice Care,96
2021,"Antineoplastic Agents, Immunological",96
2021,Muscle Strength,96
2021,Radiation Oncology,96
2021,ABO Blood-Group System,96
2021,Cornea,96
2021,Quality Control,96
2021,Food Assistance,95
2021,"Myocytes, Cardiac",95
2021,Deglutition Disorders,95
2021,Information Seeking Behavior,95
2021,Massachusetts,95
2021,Social Work,95
2021,Cannula,95
2021,Screen Time,95
2021,Stroke Rehabilitation,95
2021,Anatomy,95
2021,Heart Ventricles,95
2021,Florida,95
2021,Review Literature as Topic,95
2021,"Substance Abuse, Intravenous",95
2021,Hydrocortisone,95
2021,Food Preferences,95
2021,Respiratory Protective Devices,95
2021,Spirituality,95
2021,Betacoronavirus,94
2021,Preoperative Care,94
2021,Middle East,94
2021,Drug Administration Schedule,94
2021,Hospice and Palliative Care Nursing,94
2021,Documentation,94
2021,Hydrophobic and Hydrophilic Interactions,94
2021,Interrupted Time Series Analysis,94
2021,"Malaria, Falciparum",93
2021,Positive-Pressure Respiration,93
2021,Narration,93
2021,Personnel Staffing and Scheduling,93
2021,Electrodes,93
2021,Reverse Transcription,93
2021,Single-Domain Antibodies,93
2021,Lower Extremity,93
2021,Ebolavirus,93
2021,Mouth,92
2021,Porcine epidemic diarrhea virus,92
2021,National Health Programs,92
2021,Anesthesiologists,92
2021,"Hypertension, Pulmonary",92
2021,Romania,92
2021,Physician's Role,92
2021,Drug Monitoring,92
2021,Intersectoral Collaboration,92
2021,Viral Matrix Proteins,92
2021,Smokers,92
2021,Healthy Lifestyle,91
2021,Proto-Oncogene Proteins c-akt,91
2021,"Receptors, Immunologic",91
2021,Nephrology,91
2021,"Diagnosis, Computer-Assisted",91
2021,Biological Transport,91
2021,"Arthroplasty, Replacement, Knee",91
2021,Checklist,91
2021,Eosinophils,91
2021,False Positive Reactions,91
2021,Appendectomy,91
2021,Phosphatidylinositol 3-Kinases,91
2021,Idiopathic Pulmonary Fibrosis,91
2021,Ohio,91
2021,Abdominal Pain,91
2021,Lysosomes,91
2021,Latent Class Analysis,91
2021,Ad26COVS1,90
2021,Population Density,90
2021,"Parks, Recreational",90
2021,Weather,90
2021,Cell Death,90
2021,Academies and Institutes,90
2021,Coronavirus RNA-Dependent RNA Polymerase,90
2021,Confidentiality,90
2021,Immune Tolerance,90
2021,Metabolome,90
2021,Food Security,90
2021,Habits,90
2021,Nutrition Policy,89
2021,Specialization,89
2021,Fatty Acids,89
2021,"Hepatitis C, Chronic",89
2021,Cytomegalovirus,89
2021,Cross-Cultural Comparison,89
2021,Nose,89
2021,"Spectrum Analysis, Raman",89
2021,Accidental Falls,89
2021,Crime Victims,89
2021,Virus Attachment,89
2021,Sanitation,89
2021,Emigration and Immigration,88
2021,Micronutrients,88
2021,"Gene Expression Regulation, Viral",88
2021,Nutritive Value,88
2021,Inhibitory Concentration 50,88
2021,Recycling,88
2021,"Vaccines, Attenuated",88
2021,Lymphadenopathy,88
2021,North Carolina,88
2021,Hemostasis,88
2021,Viral Zoonoses,88
2021,Colchicine,88
2021,Beijing,88
2021,Police,88
2021,"Promoter Regions, Genetic",88
2021,"Heparin, Low-Molecular-Weight",88
2021,Tourism,88
2021,Adolescent Health,87
2021,Bronchi,87
2021,"Aptamers, Nucleotide",87
2021,Pharmaceutical Services,87
2021,"Endoscopy, Gastrointestinal",87
2021,Disease Reservoirs,87
2021,Self-Injurious Behavior,87
2021,Saccharomyces cerevisiae,87
2021,United States Department of Veterans Affairs,87
2021,Papillomaviridae,87
2021,"Stress, Physiological",87
2021,Endoplasmic Reticulum,87
2021,Herpes Zoster,87
2021,School Health Services,87
2021,Consumer Health Information,87
2021,Protein Multimerization,87
2021,Renewable Energy,87
2021,Neoadjuvant Therapy,87
2021,Wastewater-Based Epidemiological Monitoring,87
2021,"Herpesvirus 4, Human",87
2021,Cattle Diseases,87
2021,Filtration,87
2021,Choice Behavior,86
2021,Fertility,86
2021,Horses,86
2021,Cytomegalovirus Infections,86
2021,Depressive Disorder,86
2021,Fluorescein Angiography,86
2021,Washington,86
2021,Fecal Microbiota Transplantation,86
2021,Opioid Epidemic,86
2021,Genetic Testing,86
2021,Friends,86
2021,Proof of Concept Study,86
2021,Hydrogen Bonding,86
2021,Toll-Like Receptors,86
2021,Metformin,86
2021,Glomerular Filtration Rate,86
2021,Curcumin,86
2021,Copper,86
2021,Obsessive-Compulsive Disorder,86
2021,"Physicians, Women",86
2021,Angiogenesis Inhibitors,86
2021,Adverse Childhood Experiences,85
2021,Qatar,85
2021,Spirometry,85
2021,Decision Support Techniques,85
2021,Biological Assay,85
2021,Physical Therapists,85
2021,Photochemotherapy,85
2021,Surface Plasmon Resonance,85
2021,Smoke,85
2021,Tobacco Use,85
2021,Cancer Vaccines,85
2021,"Spectroscopy, Fourier Transform Infrared",85
2021,Social Interaction,85
2021,Farms,85
2021,Exercise Tolerance,85
2021,Reward,85
2021,United Arab Emirates,85
2021,Government Regulation,85
2021,Colorimetry,85
2021,Graft vs Host Disease,84
2021,Anemia,84
2021,Antibody Specificity,84
2021,Zebrafish,84
2021,Sodium-Glucose Transporter 2 Inhibitors,84
2021,"Coronavirus 229E, Human",84
2021,Complement System Proteins,84
2021,Gene Frequency,84
2021,Sputum,84
2021,Face,84
2021,Encephalitis,84
2021,"Receptors, G-Protein-Coupled",84
2021,"Vaccines, DNA",84
2021,Alveolar Epithelial Cells,84
2021,Janus Kinase Inhibitors,84
2021,Perioperative Care,84
2021,Altruism,83
2021,Ethnic and Racial Minorities,83
2021,Drug Synergism,83
2021,Ships,83
2021,Pyridones,83
2021,"Drug Resistance, Neoplasm",83
2021,"Coronavirus OC43, Human",83
2021,Gene Transfer Techniques,83
2021,Principal Component Analysis,83
2021,Global Warming,83
2021,Syndemic,83
2021,Disease-Free Survival,83
2021,Ageism,83
2021,Bone Marrow,83
2021,"Education, Dental",83
2021,Contraception,83
2021,Capsid Proteins,83
2021,Biological Availability,83
2021,"Faculty, Nursing",82
2021,"Carcinoma, Squamous Cell",82
2021,Quercetin,82
2021,Volatile Organic Compounds,82
2021,Fetus,82
2021,Tertiary Healthcare,82
2021,Breast,82
2021,Clostridium Infections,82
2021,Osteoporosis,82
2021,Tanzania,82
2021,"Diabetes, Gestational",82
2021,Meat,82
2021,Biomechanical Phenomena,82
2021,Meals,82
2021,RNA Interference,82
2021,Quebec,82
2021,Diffusion of Innovation,82
2021,Los Angeles,81
2021,Chicago,81
2021,"Medical Staff, Hospital",81
2021,Cardiomyopathies,81
2021,Organ Dysfunction Scores,81
2021,Postoperative Period,81
2021,Prejudice,81
2021,Streptococcus pneumoniae,81
2021,Internal Medicine,81
2021,"Antigens, CD",81
2021,"Fractures, Bone",81
2021,Firearms,81
2021,Programmed Cell Death 1 Receptor,81
2021,Risk Reduction Behavior,81
2021,Mammography,81
2021,Photosensitizing Agents,81
2021,"Influenza A Virus, H3N2 Subtype",81
2021,HLA Antigens,81
2021,Madin Darby Canine Kidney Cells,81
2021,"Amputation, Surgical",81
2021,Adsorption,81
2021,Bacteremia,81
2021,"Abortion, Spontaneous",81
2021,Oxygen Saturation,81
2021,Resuscitation,80
2021,Chilblains,80
2021,"Leukemia, Lymphocytic, Chronic, B-Cell",80
2021,Tokyo,80
2021,Neoplasm Proteins,80
2021,Facilities and Services Utilization,80
2021,Body Temperature,80
2021,Stents,80
2021,Radiopharmaceuticals,80
2021,Substrate Specificity,80
2021,"Specialties, Surgical",80
2021,Pediatricians,80
2021,Diabetic Ketoacidosis,80
2021,Gastrointestinal Hemorrhage,80
2021,School Teachers,80
2021,Adenosine,80
2021,Upper Extremity,80
2021,THP-1 Cells,80
2021,Troponin I,80
2021,Pneumococcal Vaccines,80
2021,Chest Pain,80
2021,Race Factors,80
2021,Toll-Like Receptor 4,79
2021,"Ethics, Medical",79
2021,Protein Transport,79
2021,Viral Tropism,79
2021,Nicotiana,79
2021,Poliomyelitis,79
2021,Rare Diseases,79
2021,Stillbirth,79
2021,Plant Leaves,79
2021,"Arthroplasty, Replacement, Hip",79
2021,Pharmacovigilance,79
2021,Airway Management,79
2021,Low Back Pain,79
2021,Analgesics,79
2021,"Administration, Intravenous",79
2021,Gene Ontology,79
2021,Ferrets,79
2021,Safety Management,79
2021,Preventive Health Services,78
2021,Platelet Activation,78
2021,Community-Based Participatory Research,78
2021,Coronary Vessels,78
2021,Adenocarcinoma,78
2021,Food Hypersensitivity,78
2021,Gonorrhea,78
2021,Alphapapillomavirus,78
2021,Sinusitis,78
2021,Anti-Retroviral Agents,78
2021,"Transplantation, Homologous",78
2021,Spleen,78
2021,Alberta,78
2021,Molecular Conformation,78
2021,Selenium,78
2021,Bullying,78
2021,Hand Strength,78
2021,Interleukins,78
2021,Biology,78
2021,"Behavior, Animal",78
2021,Awareness,78
2021,Emotional Regulation,78
2021,Water Supply,78
2021,Mastectomy,77
2021,Forced Expiratory Volume,77
2021,Polyphenols,77
2021,Eye,77
2021,Nasal Mucosa,77
2021,Rhinovirus,77
2021,Athletic Injuries,77
2021,"Clinical Trials, Phase III as Topic",77
2021,Occupational Therapy,77
2021,Neurosciences,77
2021,Population Dynamics,77
2021,Surgical Wound Infection,77
2021,Opiate Overdose,77
2021,"Hospitals, General",77
2021,Fentanyl,77
2021,Peripheral Arterial Disease,77
2021,Hydrogels,77
2021,Ecuador,76
2021,Farmers,76
2021,Comprehension,76
2021,Oropharynx,76
2021,Phenols,76
2021,Sheep,76
2021,Arabs,76
2021,Vision Disorders,76
2021,Epstein-Barr Virus Infections,76
2021,Tumor Necrosis Factor Inhibitors,76
2021,Regeneration,76
2021,Clostridioides difficile,76
2021,Patient Outcome Assessment,76
2021,"Metals, Heavy",76
2021,Immunoglobulins,76
2021,Biomedical Technology,76
2021,Pneumococcal Infections,76
2021,Illicit Drugs,76
2021,Pressure Ulcer,76
2021,"Education, Medical, Continuing",76
2021,Stem Cell Transplantation,76
2021,Communication Barriers,76
2021,Mosquito Vectors,76
2021,"Hepatitis B, Chronic",76
2021,In Vitro Techniques,76
2021,"Peer Review, Research",76
2021,Fasting,75
2021,Materials Testing,75
2021,Long QT Syndrome,75
2021,"Ethics, Research",75
2021,Host Specificity,75
2021,Tissue Distribution,75
2021,Family Health,75
2021,Textiles,75
2021,Clinical Clerkship,75
2021,Protein Engineering,75
2021,"Financing, Government",75
2021,"Brain Injuries, Traumatic",75
2021,Cues,75
2021,Solubility,75
2021,Imidazoles,75
2021,Histones,75
2021,Spinal Cord Injuries,75
2021,Interleukin 1 Receptor Antagonist Protein,75
2021,Coronavirus Papain-Like Proteases,74
2021,Drug Hypersensitivity,74
2021,Milk,74
2021,Cadaver,74
2021,Vomiting,74
2021,Testosterone,74
2021,Urinary Bladder Neoplasms,74
2021,Nicotine,74
2021,Data Accuracy,74
2021,"Leukemia, Myeloid, Acute",74
2021,"Depression, Postpartum",74
2021,Inventions,74
2021,Pancreas,74
2021,Mediastinal Emphysema,74
2021,Fluorescence,74
2021,Psychosocial Intervention,74
2021,Maternal Health,74
2021,Georgia,73
2021,Mendelian Randomization Analysis,73
2021,Genetic Engineering,73
2021,"Models, Economic",73
2021,Compassion Fatigue,73
2021,Static Electricity,73
2021,Gender Equity,73
2021,Gram-Negative Bacteria,73
2021,Triazoles,73
2021,Soccer,73
2021,"Diet, Mediterranean",73
2021,Cerebral Hemorrhage,73
2021,Internet of Things,73
2021,Nutrients,73
2021,Surface-Active Agents,73
2021,Global Burden of Disease,73
2021,Indigenous Peoples,73
2021,"Selection, Genetic",72
2021,Sociodemographic Factors,72
2021,Serogroup,72
2021,Judgment,72
2021,Photography,72
2021,Malawi,72
2021,Birds,72
2021,beta-Lactamases,72
2021,Bipolar Disorder,72
2021,Vasculitis,72
2021,Respiratory Rate,72
2021,Professional-Patient Relations,72
2021,Remission Induction,72
2021,Aspartate Aminotransferases,72
2021,DNA Damage,72
2021,Boston,72
2021,Work-Life Balance,72
2021,Neglected Diseases,72
2021,Furin,71
2021,Necrosis,71
2021,"Mutation, Missense",71
2021,Molecular Epidemiology,71
2021,Hearing Loss,71
2021,Biomass,71
2021,Haplotypes,71
2021,Solid Waste,71
2021,Metabolic Networks and Pathways,71
2021,Angiotensin II,71
2021,Transfection,71
2021,Athletic Performance,71
2021,Interferon-alpha,71
2021,Allografts,71
2021,"Sinus Thrombosis, Intracranial",71
2021,Platelet Factor 4,71
2021,Amyloid beta-Peptides,71
2021,Chitosan,71
2021,Certification,71
2021,Pyroptosis,71
2021,Sentinel Surveillance,71
2021,Kidney Neoplasms,71
2021,"Adaptor Proteins, Signal Transducing",71
2021,NF-E2-Related Factor 2,71
2021,Living Donors,71
2021,Interleukin-8,70
2021,Random Allocation,70
2021,Nursing,70
2021,"Fatigue Syndrome, Chronic",70
2021,"Child, Hospitalized",70
2021,Fibrinogen,70
2021,Health Occupations,70
2021,Bioethics,70
2021,Vascular Diseases,70
2021,Postural Balance,70
2021,Adenosine Triphosphate,70
2021,"Data Interpretation, Statistical",70
2021,Intravitreal Injections,70
2021,"Infusions, Intravenous",70
2021,Oxygen Consumption,70
2021,"Decision Support Systems, Clinical",70
2021,Nomograms,70
2021,Systems Biology,69
2021,Ubiquitin-Protein Ligases,69
2021,Travel-Related Illness,69
2021,Endosomes,69
2021,Internet Use,69
2021,Walk Test,69
2021,Protein Serine-Threonine Kinases,69
2021,Urinary Tract Infections,69
2021,Epitope Mapping,69
2021,Nursing Education Research,69
2021,Myocardial Ischemia,69
2021,Membrane Glycoproteins,69
2021,Mammaplasty,69
2021,Reaction Time,69
2021,Cricetulus,69
2021,Anticonvulsants,69
2021,Protein Stability,69
2021,Pulmonary Artery,69
2021,Islam,69
2021,DNA Primers,69
2021,Crowding,69
2021,Klebsiella pneumoniae,69
2021,Endocytosis,69
2021,Naloxone,68
2021,National Institutes of Health (U.S.),68
2021,Microfluidic Analytical Techniques,68
2021,Interdisciplinary Communication,68
2021,Infectious bronchitis virus,68
2021,B7-H1 Antigen,68
2021,Financial Stress,68
2021,Troponin,68
2021,Aquatic Organisms,68
2021,Geographic Information Systems,68
2021,Oncologists,68
2021,Authorship,68
2021,Hypnotics and Sedatives,68
2021,Cataract,68
2021,Healthy Aging,68
2021,Lymphocyte Subsets,68
2021,Trachea,68
2021,"Ventricular Dysfunction, Right",68
2021,Critical Pathways,68
2021,"Hemagglutinin Glycoproteins, Influenza Virus",68
2021,Diabetic Foot,67
2021,Automation,67
2021,Influenza in Birds,67
2021,Hearing,67
2021,Colon,67
2021,Self-Testing,67
2021,Rotavirus,67
2021,Blood Proteins,67
2021,Semantics,67
2021,Ovarian Neoplasms,67
2021,Writing,67
2021,Anti-Asthmatic Agents,67
2021,"Range of Motion, Articular",67
2021,MAP Kinase Signaling System,67
2021,Resistance Training,67
2021,Norovirus,67
2021,Odorants,67
2021,Alanine Transaminase,67
2021,Triglycerides,67
2021,Graft Survival,67
2021,Environmental Health,67
2021,Ownership,67
2021,"Models, Immunological",67
2021,Hematology,67
2021,Vehicle Emissions,66
2021,Protein Folding,66
2021,Retirement,66
2021,Periodontitis,66
2021,Hungary,66
2021,Fomites,66
2021,"Memory, Short-Term",66
2021,Patents as Topic,66
2021,Interleukin-17,66
2021,Mast Cells,66
2021,Psychology,66
2021,Leisure Activities,66
2021,"Natriuretic Peptide, Brain",66
2021,"Ventricular Dysfunction, Left",66
2021,Cooking,66
2021,Colitis,66
2021,Systems Analysis,66
2021,Brain Injuries,66
2021,"Chemistry, Pharmaceutical",66
2021,Monte Carlo Method,66
2021,Nitrogen Dioxide,66
2021,Air Filters,66
2021,"Models, Organizational",66
2021,"Macrophages, Alveolar",66
2021,Child Health Services,66
2021,"Receptors, Interleukin-6",65
2021,von Willebrand Factor,65
2021,"Pneumonia, Bacterial",65
2021,Automobile Driving,65
2021,Genetic Association Studies,65
2021,Th1 Cells,65
2021,Research Support as Topic,65
2021,"Image Interpretation, Computer-Assisted",65
2021,Aortic Valve,65
2021,Hypoglycemia,65
2021,Blood Cell Count,65
2021,Interferon-beta,65
2021,"Tuberculosis, Multidrug-Resistant",65
2021,Methadone,65
2021,Physical Fitness,65
2021,Precursor Cell Lymphoblastic Leukemia-Lymphoma,65
2021,Problem Solving,65
2021,Peritoneal Dialysis,65
2021,Organizational Policy,65
2021,"Drug Resistance, Viral",65
2021,Drug Costs,65
2021,Mental Recall,65
2021,"Defibrillators, Implantable",65
2021,Gait,65
2021,"Clinical Trials, Phase II as Topic",65
2021,Hippocampus,64
2021,Social Participation,64
2021,Electric Impedance,64
2021,Glucosides,64
2021,"Pneumonia, Ventilator-Associated",64
2021,Sample Size,64
2021,Renal Insufficiency,64
2021,Neoplasm Metastasis,64
2021,Esophageal Neoplasms,64
2021,Carrier Proteins,64
2021,Terminology as Topic,64
2021,TOR Serine-Threonine Kinases,64
2021,HIV Testing,64
2021,"Anesthesia, General",64
2021,Disability Evaluation,64
2021,Quinolines,64
2021,Internet Addiction Disorder,64
2021,Developmental Disabilities,64
2021,Antigen Presentation,64
2021,Speech Perception,64
2021,Equipment Contamination,64
2021,Veterinary Medicine,64
2021,Antibody Affinity,64
2021,Immunoglobulin E,64
2021,Bicycling,64
2021,Pennsylvania,64
2021,Democratic Republic of the Congo,64
2021,Equipment Reuse,64
2021,Access to Information,64
2021,Myopia,64
2021,"Drug Screening Assays, Antitumor",64
2021,Fermentation,64
2021,Protein Interaction Mapping,64
2021,Prenatal Exposure Delayed Effects,64
2021,Ubiquitination,64
2021,Pulmonary Alveoli,64
2021,"Students, Dental",64
2021,Sex Offenses,64
2021,Metagenome,63
2021,Deception,63
2021,Biosimilar Pharmaceuticals,63
2021,Neuroinflammatory Diseases,63
2021,Aircraft,63
2021,"Genes, Viral",63
2021,Happiness,63
2021,Quantitative Structure-Activity Relationship,63
2021,"Decision Making, Shared",63
2021,Noise,63
2021,Systemic Racism,63
2021,"Physicians, Primary Care",63
2021,Climate,63
2021,Broadly Neutralizing Antibodies,63
2021,Nutrition Therapy,63
2021,Ageusia,63
2021,DNA-Binding Proteins,63
2021,Wakefulness,63
2021,Methyltransferases,63
2021,Myeloid Cells,63
2021,Cryopreservation,63
2021,Bronchodilator Agents,63
2021,Aortic Valve Stenosis,63
2021,Maternal Mortality,63
2021,Lasers,63
2021,"Injections, Subcutaneous",63
2021,"Ethics Committees, Research",63
2021,Exhalation,63
2021,American Indian or Alaska Native,62
2021,Social Workers,62
2021,Secondary Prevention,62
2021,Catechin,62
2021,CHO Cells,62
2021,Nucleocapsid,62
2021,"Physicians, Family",62
2021,Local Government,62
2021,Donor Selection,62
2021,Data Management,62
2021,Protective Agents,62
2021,Disseminated Intravascular Coagulation,62
2021,Histocompatibility Antigens Class I,62
2021,Plasma Exchange,62
2021,Luminescent Measurements,62
2021,Professionalism,62
2021,Candida albicans,62
2021,Microscopy,62
2021,Economic Recession,62
2021,Likelihood Functions,62
2021,Neuroprotective Agents,62
2021,Health Inequities,62
2021,Enteral Nutrition,62
2021,Laryngoscopy,62
2021,Th17 Cells,62
2021,Psychotropic Drugs,62
2021,Syria,62
2021,Professional-Family Relations,62
2021,Executive Function,62
2021,Acoustics,62
2021,Salaries and Fringe Benefits,62
2021,Polysomnography,61
2021,Dyslipidemias,61
2021,Infertility,61
2021,Azetidines,61
2021,Urbanization,61
2021,Culture,61
2021,Bioreactors,61
2021,Urticaria,61
2021,Czech Republic,61
2021,Implementation Science,61
2021,Alkaloids,61
2021,"Radiographic Image Interpretation, Computer-Assisted",61
2021,Stereotyping,61
2021,Anniversaries and Special Events,61
2021,Fibrinolysis,61
2021,"DNA, Bacterial",61
2021,Purines,61
2021,CD4 Lymphocyte Count,61
2021,Genetic Counseling,61
2021,Retinal Diseases,61
2021,"Injections, Intramuscular",61
2021,Caribbean Region,61
2021,Porosity,61
2021,Gas Chromatography-Mass Spectrometry,60
2021,Blood Coagulation Tests,60
2021,"Quality Indicators, Health Care",60
2021,Patient Transfer,60
2021,State Government,60
2021,Child Behavior,60
2021,Cancer Care Facilities,60
2021,Plasmids,60
2021,Paris,60
2021,Cholecalciferol,60
2021,"Diet, High-Fat",60
2021,Pericarditis,60
2021,"Antineoplastic Agents, Phytogenic",60
2021,Lymphoma,60
2021,Electricity,60
2021,Primary Prevention,60
2021,Nucleotides,60
2021,"Fatty Acids, Omega-3",60
2021,Fetal Blood,60
2021,"Purpura, Thrombotic Thrombocytopenic",60
2021,San Francisco,60
2021,Intracellular Signaling Peptides and Proteins,60
2021,Breath Tests,60
2021,Psychosocial Support Systems,60
